School,attendance
Air Force,174924
Akron,117416
Alabama,712053
Alabama at Birmingham,158252
Appalachian State,154722
Arizona,255791
Arizona State,359660
Arkansas,442569
Arkansas State,119538
Army,185543
Auburn,605120
Ball State,59395
Baylor,262978
Boise State,217881
Boston College,215546
Bowling Green,79405
Brigham Young,337599
Buffalo,80102
California,219290
Central Florida,257924
Central Michigan,67520
Charlotte,71420
Cincinnati,170603
Clemson,565412
Coastal Carolina,
Colorado,282335
Colorado State,192369
Connecticut,122007
Duke,187581
East Carolina,257090
Eastern Michigan,73649
Florida,520290
Florida Atlantic,151580
Florida International,100002
Florida State,425658
Fresno State,183789
Georgia,556476
Georgia Southern,61031
Georgia State,79163
Georgia Tech,281310
Hawaii,145463
Houston,195499
Illinois,276003
Indiana,263715
Iowa,464357
Iowa State,347586
Kansas,186490
Kansas State,359107
Kent State,65924
Kentucky,395276
Liberty,
Louisiana Tech,142626
Louisiana-Lafayette,78754
Louisiana-Monroe,49640
Louisville,276957
LSU,591034
Marshall,130447
Maryland,237859
Massachusetts,64242
Memphis,290416
Miami (Fla.),469454
Miami (Ohio),98666
Michigan,669534
Michigan State,507398
Middle Tennessee,93718
Minnesota,310506
Mississippi,410414
Mississippi State,406703
Missouri,360429
Navy,209701
Nebraska,628583
Nevada,100329
Nevada-Las Vegas,104692
New Mexico,127161
New Mexico State,91195
North Carolina,350500
North Carolina State,341100
North Texas,134174
Northern Illinois,67748
Northwestern,250969
Notre Dame,543354
Ohio,116325
Ohio State,752464
Oklahoma,519119
Oklahoma State,340740
Old Dominion,120708
Oregon,388381
Oregon State,208524
Penn State,746946
Pittsburgh,254062
Purdue,287303
Rice,96770
Rutgers,278245
San Diego State,275428
San Jose State,85235
South Alabama,104070
South Carolina,550099
South Florida,188408
Southern California,508781
Southern Methodist,139609
Southern Mississippi,130265
Stanford,284388
Syracuse,237504
Temple,163905
Tennessee,670454
Texas,556667
Texas A&M,691612
Texas Christian,264481
Texas State,104680
Texas Tech,330390
Texas-El Paso,97740
Texas-San Antonio,114104
Toledo,124470
Troy,146737
Tulane,101634
Tulsa,110751
UCLA,336262
Utah,321390
Utah State,120650
Vanderbilt,219390
Virginia,275788
Virginia Tech,379284
Wake Forest,170614
Washington,481755
Washington State,223875
West Virginia,335678
Western Kentucky,94234
Western Michigan,95314
Wisconsin,551766
Wyoming,144299